| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |       0 |       0 |   1|       0 |       0 |       0 |
| 2    |  0  |       0 |       0 |   2|       0 |       0 |       0 |
| 3    |  0  |       5 |       0 |   3|       0 |       0 |       0 |
| 4    |  0  |       5 |       5 |   4|       0 |       0 |       0 |
| 5    |  0  |       1 |       5 |   5|       0 |       0 |       0 |
| 6    |  0  |       1 |       5 |   6|       0 |       5 |       0 |
| 7    |  0  |      10 |       5 |   7|       0 |       5 |       0 |
| 8    |  0  |      10 |      10 |   8|       0 |       5 |       0 |
| 9    |  0  |       2 |      10 |   9|       0 |       5 |       0 |
| 10   |  0  |       2 |      10 |  10|       0 |       5 |      10 |
